ticker,company,price,marketCap,need,r1_score,reason
AMG,Affiliated Managers Group Inc. Common Stock,365.28,9446116326.0,finance,22,"R1: need alignment below threshold (score 2/30, need=finance)"
AFRM,Affirm Holdings Inc. Class A Common Stock,77.945,26103668649.0,finance,24,"R1: need alignment below threshold (score 4/30, need=finance)"
AFL,AFLAC Incorporated Common Stock,116.18,58246064362.0,finance,26,"R1: need alignment below threshold (score 6/30, need=finance)"
AFBOF,African Rainbow Minerals Limited,10.09,2025803264.0,materials,28,"R1: need alignment below threshold (score 8/30, need=materials)"
AFYA,Afya Limited Class A Common Shares,14.35,1344922625.0,services,24,"R1: need alignment below threshold (score 6/30, need=services)"
AASP,Agassi Sports Entertainment Corp.,6.5,85129360.0,discretionary,16,"R1: need alignment below threshold (score 4/30, need=discretionary)"
ASGLF,AGC Inc.,38.35,8145301504.0,conglomerate,32,"R1: need alignment below threshold (score 12/30, need=conglomerate)"
UAVS,AgEagle Aerial Systems Inc. Common Stock,1.08,67938162.0,transport,27,"R1: need alignment below threshold (score 15/30, need=transport)"
AGESY,ageas SA/NV,86.83,18167236608.0,finance,25,"R1: need alignment below threshold (score 5/30, need=finance)"
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,14.32,533942680.0,food,32,"R1: need alignment below threshold (score 14/30, need=food)"
AGFMF,AGF Management Limited,16.25,1033329920.0,finance,20,"R1: need alignment below threshold (score 2/30, need=finance)"
AGBK,AGI Inc Class A Common Shares,6.23,997641499.0,finance,23,"R1: need alignment below threshold (score 5/30, need=finance)"
AGPYY,Agile Group Holdings Limited,1.01,101930160.0,shelter,25,"R1: need alignment below threshold (score 10/30, need=shelter)"
AGL,agilon health inc. Common Stock,96.11,1613803264.0,health,36,"R1: need alignment below threshold (score 18/30, need=health)"
AGNC,AGNC Investment Corp. Common Stock,10.91,12933602587.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,25.42,30134938383.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,25.65,30407599116.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,25.918,30725308143.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
