ticker,company,listing
CTTAF,Continental Aktiengesellschaft,otc
CNVVF,Convatec Group PLC,otc
CKPDY,Cookpad Inc.,otc
CSNVF,Corbion N.V.,otc
CRBBF,Corby Spirit and Wine Limited,otc
CICOF,"COSCO SHIPPING Holdings Co., Ltd.",otc
CSPKY,COSCO SHIPPING Ports Limited,otc
CSGQF,Costain Group PLC,otc
CVVTF,Covestro AG,otc
FNCDY,Covivio,otc
CPPCY,CP ALL Public Company Limited,otc
CRWCY,Cranswick plc,otc
CRD-A,CRAWFORD & CO,sec_only
CSYJF,CSE Global Limited,otc
CSPCY,CSPC Pharmaceutical Group Limited,otc
ICABY,CTF Media & Entertainment Limited,otc
NWSGY,CTF Services Ltd,sec_only
CEVMY,CTS Eventim AG & Co. KGaA,otc
CTTOF,"CTT - Correios De Portugal, S.A.",otc
CURYY,Currys plc,otc
CVCPY,CVC Capital Partners plc/ADR,sec_only
CYAGF,"CyberAgent, Inc.",otc
CYBQF,CYBERDYNE Inc.,otc
SIEVF,D'Ieteren Group SA,otc
DLNDY,"D&L Industries, Inc.",otc
DAHSF,Dah Sing Financial Holdings Limited,otc
DNPCF,"Dai Nippon Printing Co., Ltd.",otc
DFKCY,Daifuku Co Ltd,otc
DFKUY,"Daifuku Co., Ltd./ADR",sec_only
DCNSF,"Daiichi Life Group, Inc.",otc
DSKYF,"Daiichi Sankyo Company, Limited",otc
DKILF,Daikin Industries Ltd,sec_only
DTRUY,Daimler Truck Holding AG,otc
DITTF,"Daito Trust Construction Co.,Ltd.",otc
DWAHY,"Daiwa House Industry Co., Ltd.",otc
DASTF,Dassault Systèmes SE,otc
DVDCF,Davide Campari-Milano N.V.,otc
DBSDF,DBS Group Holdings Ltd,otc
DCCPF,DCC Energy plc,otc
DELKY,Delek Group Ltd.,otc
DELHY,Delivery Hero SE,otc
WILYY,Demant A/S,otc
DNCLY,"DeNA Co., Ltd./ADR",sec_only
DNZOY,DENSO Corporation,otc
DNTUY,Dentsu Group Inc.,otc
DBOEY,Deutsche Börse AG,otc
DFILF,DFI Retail Group Holdings Limited,otc
DNOPF,Dino Polska S.A./ADR,sec_only
DPLMF,Diploma plc/ADR,sec_only
DISPF,Disco Corporation/ADR,sec_only
DCYHY,Discovery Limited,otc
DNBBF,DNB Bank ASA,otc
DTNOF,DNO ASA,otc
DLMAY,Dollarama Inc./ADR,sec_only
DMPZF,Domino's Pizza Group plc,otc
DPZUF,Domino's Pizza Enterprises Limited,otc
DRRKF,dormakaba Holding AG,sec_only
DNERY,Downer EDI Limited,otc
DPDSY,DPC DASH LTD/ADR,sec_only
DGWPF,Drägerwerk AG & Co. KGaA,otc
DRPRY,Dr. Ing. h.c. F. Porsche AG,otc
DRMTY,Dr. Martens plc,otc
DRXGY,Drax Group plc,otc
DRSHF,DroneShield Ltd,sec_only
DSDVF,DSV A/S,otc
