ticker,company,price,marketCap,exchange,quoteType
MHVYF,"Mitsubishi Heavy Industries, Ltd.",27.0,90725654528.0,PNK,EQUITY
BCLYF,Barclays PLC,6.7,90020241408.0,PNK,EQUITY
CHDRY,Christian Dior SE,124.2,89627975680.0,PNK,EQUITY
MITSY,"Mitsui & Co., Ltd.",622.93,88275042304.0,PNK,EQUITY
PSBKF,"Postal Savings Bank of China Co., Ltd.",0.6691,88100069376.0,PNK,EQUITY
OVCHF,Oversea-Chinese Banking Corporation Limited,19.56,87834787840.0,PNK,EQUITY
SNHIY,"Sany Heavy Industry Co.,Ltd",9.55,87812300800.0,PNK,EQUITY
CHDRF,Christian Dior SE,486.54,87776960512.0,PNK,EQUITY
BAESF,BAE Systems plc,29.5,86402760704.0,PNK,EQUITY
NTTYY,"NTT, Inc.",26.57,86302556160.0,PNK,EQUITY
PSTVY,"Postal Savings Bank of China Co., Ltd.",12.8,86200287232.0,PNK,EQUITY
MITSF,"Mitsui & Co., Ltd.",30.37,86074302464.0,PNK,EQUITY
BKFCF,"Bank of Communications Co., Ltd.",0.969,85624504320.0,PNK,EQUITY
ESLOY,EssilorLuxottica Société anonyme,92.94,85428887552.0,PNK,EQUITY
WEBNF,Westpac Banking Corporation,25.0,85372682240.0,PNK,EQUITY
ESLOF,EssilorLuxottica Société anonyme,185.66,85327773696.0,PNK,EQUITY
MRAAF,"Murata Manufacturing Co., Ltd.",46.55,84735533056.0,PNK,EQUITY
NPPXF,"NTT, Inc.",1.04,84451131392.0,PNK,EQUITY
NABZY,National Australia Bank Limited,13.74,84125483008.0,PNK,EQUITY
BAESY,BAE Systems plc,114.705,83990069248.0,PNK,EQUITY
MHVIY,"Mitsubishi Heavy Industries, Ltd.",12.43,83534807040.0,PNK,EQUITY
NGGTF,National Grid plc,16.53,83093020672.0,PNK,EQUITY
WBKCY,Westpac Banking Corporation,12.14,82913951744.0,PNK,EQUITY
ATLFF,Atlas Copco AB (publ),16.98,82838978560.0,PNK,EQUITY
MRAAY,"Murata Manufacturing Co., Ltd.",22.41,81586397184.0,PNK,EQUITY
ANZGY,ANZ Group Holdings Limited,26.64,80213843968.0,PNK,EQUITY
NETTF,"NetEase, Inc.",24.9,79711150080.0,PNK,EQUITY
WUXIF,"WuXi AppTec Co., Ltd.",26.655,79532048384.0,PNK,EQUITY
VOLVF,AB Volvo (publ),39.0,79304630272.0,PNK,EQUITY
NAUBF,National Australia Bank Limited,25.76,78859993088.0,PNK,EQUITY
WUXAY,"WuXi AppTec Co., Ltd.",26.18,78114758656.0,PNK,EQUITY
VCISF,Vinci SA,140.9,78042636288.0,PNK,EQUITY
BCMXY,"Bank of Communications Co., Ltd.",22.05,77936852992.0,PNK,EQUITY
EIPAF,Eni S.p.A.,27.0,77880770560.0,PNK,EQUITY
JAPAY,Japan Tobacco Inc.,21.91,77796171776.0,PNK,EQUITY
ANZGF,ANZ Group Holdings Limited,25.7,77383483392.0,PNK,EQUITY
VCISY,Vinci SA,34.88,77278273536.0,PNK,EQUITY
ARZGY,Assicurazioni Generali S.p.A.,25.47,76856303616.0,PNK,EQUITY
MURGY,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,12.04,75740307456.0,PNK,EQUITY
VLVLY,AB Volvo (publ),37.08,75400404992.0,PNK,EQUITY
ENGIY,Engie SA,29.59,75180089344.0,PNK,EQUITY
MURGF,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,597.01,75112497152.0,PNK,EQUITY
ENGQF,Engie SA,29.5,74951426048.0,PNK,EQUITY
MIELF,Mitsubishi Electric Corporation,36.5,74694909952.0,PNK,EQUITY
CMCLY,CMOC Group Limited,148.88,74387275776.0,PNK,EQUITY
CHGCF,"Chugai Pharmaceutical Co., Ltd.",44.75,73639583744.0,PNK,EQUITY
MIELY,Mitsubishi Electric Corporation,70.71,72351735808.0,PNK,EQUITY
CHGCY,"Chugai Pharmaceutical Co., Ltd.",21.85,71911727104.0,PNK,EQUITY
SFBQF,SoftBank Corp.,1.5,71750582272.0,PNK,EQUITY
SOBKY,SoftBank Corp.,14.95,71511408640.0,PNK,EQUITY
MKGAF,Merck KGaA,164.0,71303577600.0,PNK,EQUITY
JPPTY,"JAPAN POST BANK Co., Ltd.",20.01,71275339776.0,PNK,EQUITY
MKKGY,Merck KGaA,32.605,70879657984.0,PNK,EQUITY
AMXOF,"América Móvil, S.A.B. de C.V.",1.18,70699696128.0,PNK,EQUITY
WFAFF,Wesfarmers Limited,62.0,70387523584.0,PNK,EQUITY
TCANF,TC Energy Corporation,14.12,,PNK,EQUITY
RBSPF,NatWest Group plc,8.8,69897175040.0,PNK,EQUITY
SHECF,"Shin-Etsu Chemical Co., Ltd.",37.69,69715066880.0,PNK,EQUITY
SHECY,"Shin-Etsu Chemical Co., Ltd.",18.7,69178654720.0,PNK,EQUITY
CRARF,Crédit Agricole S.A.,22.84,69105500160.0,PNK,EQUITY
MQBKY,Macquarie Group Limited,181.25,69081333760.0,PNK,EQUITY
MPNGF,Meituan,11.17,68939464704.0,PNK,EQUITY
JAPAF,Japan Tobacco Inc.,38.65,68617572352.0,PNK,EQUITY
MCQEF,Macquarie Group Limited,178.0,68597395456.0,PNK,EQUITY
HKXCY,Hong Kong Exchanges and Clearing Limited,53.54,67674501120.0,PNK,EQUITY
KDDIY,KDDI Corporation,18.23,67397206016.0,PNK,EQUITY
BHKLY,BOC Hong Kong (Holdings) Limited,127.49,67396186112.0,PNK,EQUITY
WFAFY,Wesfarmers Limited,29.59,67186028544.0,PNK,EQUITY
AVIKF,Advanced Info Service Public Company Limited,12.0,66824024064.0,PNK,EQUITY
JPSTF,"JAPAN POST BANK Co., Ltd.",18.75,66787233792.0,PNK,EQUITY
CRARY,Crédit Agricole S.A.,11.03,66745503744.0,PNK,EQUITY
SNPMF,China Petroleum & Chemical Corporation,0.5526,66720837632.0,PNK,EQUITY
JHPCY,"Jiangsu Hengrui Pharmaceuticals Co.,Ltd",20.0,66371997696.0,PNK,EQUITY
SCBFF,Standard Chartered PLC,29.8,65541451776.0,PNK,EQUITY
HKXCF,Hong Kong Exchanges and Clearing Limited,51.63,65260261376.0,PNK,EQUITY
SCBFY,Standard Chartered PLC,58.73,64584724480.0,PNK,EQUITY
NTDOY,"Nintendo Co., Ltd.",13.86,63915290624.0,PNK,EQUITY
NTDOF,"Nintendo Co., Ltd.",55.3,63753887744.0,PNK,EQUITY
PCRFF,Panasonic Holdings Corporation,27.3,63743451136.0,PNK,EQUITY
TNCAF,TC Energy Corporation,15.5,,PNK,EQUITY
RLXXF,RELX PLC,36.25,63135412224.0,PNK,EQUITY
BAMGF,Brookfield Corporation,16.8976,,PNK,EQUITY
PCRHY,Panasonic Holdings Corporation,26.99,63019626496.0,PNK,EQUITY
KBCSY,KBC Group NV,77.56,61996900352.0,PNK,EQUITY
ARGNF,argenx SE,995.0,61876834304.0,PNK,EQUITY
DLKGF,Delek Group Ltd.,340.0,61733330944.0,PNK,EQUITY
NTIOF,National Bank of Canada,160.24,61715251200.0,PNK,EQUITY
RNMBF,Rheinmetall AG,1319.46,61576642560.0,PNK,EQUITY
KBCSF,KBC Group NV,154.02,61448548352.0,PNK,EQUITY
MPNGY,Meituan,19.87,61317242880.0,PNK,EQUITY
DBOEF,Deutsche Börse AG,339.3,61171601408.0,PNK,EQUITY
RNMBY,Rheinmetall AG,261.02,60906487808.0,PNK,EQUITY
DBOEY,Deutsche Börse AG,33.69,60738908160.0,PNK,EQUITY
KDDIF,KDDI Corporation,16.4,60631609344.0,PNK,EQUITY
NNFSF,"Nongfu Spring Co., Ltd.",5.39,60618448896.0,PNK,EQUITY
SNGNF,Singapore Telecommunications Limited,3.7,60565024768.0,PNK,EQUITY
THLEF,Thales S.A.,292.5,60172623872.0,PNK,EQUITY
THLLY,Thales S.A.,58.36,60028616704.0,PNK,EQUITY
LTOUF,Larsen & Toubro Limited,42.95,59093450752.0,PNK,EQUITY
HOCPF,HOYA Corporation,175.38,58668204032.0,PNK,EQUITY
SGAPY,Singapore Telecommunications Limited,35.35,57864146944.0,PNK,EQUITY
BNKHF,BOC Hong Kong (Holdings) Limited,5.45,57621651456.0,PNK,EQUITY
GWLIF,Great-West Lifeco Inc.,64.35,57606119424.0,PNK,EQUITY
FKURF,Fujikura Ltd.,34.6,57287237632.0,PNK,EQUITY
CMCLF,CMOC Group Limited,2.35,56586391552.0,PNK,EQUITY
ANCTF,Alimentation Couche-Tard Inc.,61.61,56555679744.0,PNK,EQUITY
EBKDY,Erste Group Bank AG,72.04,55968055296.0,PNK,EQUITY
BECEF,BCE Inc.,15.4153,,PNK,EQUITY
ENAKF,E.ON SE,21.25,55553548288.0,PNK,EQUITY
FJIKY,Fujikura Ltd.,16.7,55300403200.0,PNK,EQUITY
NOKBF,Nokia Oyj,9.89,55211266048.0,PNK,EQUITY
CIIHY,CITIC Securities Company Limited,35.0,54684954624.0,PNK,EQUITY
CHCJY,China CITIC Bank Corporation Limited,19.6,54532259840.0,PNK,EQUITY
TKPHF,Takeda Pharmaceutical Company Limited,34.0,54289551360.0,PNK,EQUITY
EONGY,E.ON SE,20.53,53671264256.0,PNK,EQUITY
DGEAF,Diageo plc,24.05,53477576704.0,PNK,EQUITY
UOVEY,United Overseas Bank Limited,64.78,53472067584.0,PNK,EQUITY
RWEOY,RWE Aktiengesellschaft,67.98,53023391744.0,PNK,EQUITY
SSUMY,Sumitomo Corporation,11.17,52932919296.0,PNK,EQUITY
LZAGY,Lonza Group AG,74.07,52703272960.0,PNK,EQUITY
HOCPY,HOYA Corporation,157.15,52569890816.0,PNK,EQUITY
CTPCF,CITIC Limited,1.8,52362473472.0,PNK,EQUITY
DSDVY,DSV A/S,109.45,52267393024.0,PNK,EQUITY
SDVKY,Sandvik AB (publ),41.65,52245176320.0,PNK,EQUITY
SSUMF,Sumitomo Corporation,11.0,52127313920.0,PNK,EQUITY
UOVEF,United Overseas Bank Limited,31.5,52002783232.0,PNK,EQUITY
LZAGF,Lonza Group AG,743.5,51929186304.0,PNK,EQUITY
SSREY,Swiss Re AG,43.76,51781926912.0,PNK,EQUITY
SMMNY,Siemens Healthineers AG,23.13,51774144512.0,PNK,EQUITY
LOBLY,Loblaw Companies Limited,11.16,51586039808.0,PNK,EQUITY
DSDVF,DSV A/S,215.31,51410198528.0,PNK,EQUITY
LBLCF,Loblaw Companies Limited,44.27,51158470656.0,PNK,EQUITY
MARUY,Marubeni Corporation,31.18,50727211008.0,PNK,EQUITY
RWNFF,RWE Aktiengesellschaft,64.75,50504040448.0,PNK,EQUITY
MARUF,Marubeni Corporation,30.96,50369290240.0,PNK,EQUITY
SEMHF,Siemens Healthineers AG,45.0,50363953152.0,PNK,EQUITY
CRZBY,Commerzbank AG,46.55,50313433088.0,PNK,EQUITY
FNCTF,Orange S.A.,18.93,50311667712.0,PNK,EQUITY
CHBJF,China CITIC Bank Corporation Limited,0.904,50303225856.0,PNK,EQUITY
SDVKF,Sandvik AB (publ),38.24,50258739200.0,PNK,EQUITY
AMSYF,ArcelorMittal S.A.,66.45,50106068992.0,PNK,EQUITY
MBGYY,Mercedes-Benz Group AG,13.07,50049220608.0,PNK,EQUITY
MBGAF,Mercedes-Benz Group AG,52.26,50030071808.0,PNK,EQUITY
EBKOF,Erste Group Bank AG,128.61,49958711296.0,PNK,EQUITY
GALDY,Galderma Group AG,42.83,49937412096.0,PNK,EQUITY
UCBJY,UCB SA,130.83,49888772096.0,PNK,EQUITY
SSREF,Swiss Re AG,168.75,49849679872.0,PNK,EQUITY
ELEZF,"Endesa, S.A.",48.9,49803112448.0,PNK,EQUITY
ANFGF,Antofagasta plc,50.5,49785761792.0,PNK,EQUITY
